Sequence,PageUrn,RV,Label
2,coverpage1r,recto,"BN Coislin 345, cover page 1 r"
3,coverpage1v,verso,"BN Coislin 345, cover page 1 v"
4,ir,recto,"BN Coislin 345, folio i r"
5,iv,verso,"BN Coislin 345, folio i v"
6,iir,recto,"BN Coislin 345, folio ii r"
7,iiv,verso,"BN Coislin 345, folio ii v"
8,insert1r,insertpagerecto,"BN Coislin 345, insert 1 r"
9,insert1v,insertpageverso,"BN Coislin 345, insert 1 v"
10,iiir,recto,"BN Coislin 345, folio iii r"
11,ivv,verso,"BN Coislin 345, folio iv v"
12,1r,recto,"BN Coislin 345, folio 1 r"
13,1v,verso,"BN Coislin 345, folio 1 v"
14,2r,recto,"BN Coislin 345, folio 2 r"
15,2v,verso,"BN Coislin 345, folio 2 v"
16,3r,recto,"BN Coislin 345, folio 3 r"
17,3v,verso,"BN Coislin 345, folio 3 v"
18,4r,recto,"BN Coislin 345, folio 4 r"
19,4v,verso,"BN Coislin 345, folio 4 v"
20,5r,recto,"BN Coislin 345, folio 5 r"
21,5v,verso,"BN Coislin 345, folio 5 v"
22,6r,recto,"BN Coislin 345, folio 6 r"
23,6v,verso,"BN Coislin 345, folio 6 v"
24,7r,recto,"BN Coislin 345, folio 7 r"
25,7v,verso,"BN Coislin 345, folio 7 v"
26,8r,recto,"BN Coislin 345, folio 8 r"
27,8v,verso,"BN Coislin 345, folio 8 v"
28,9r,recto,"BN Coislin 345, folio 9 r"
29,9v,verso,"BN Coislin 345, folio 9 v"
